manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,body_type,drivetrain,price_usd,reliability
Subaru,Outback,automatic,silver,190000,2010,gasoline,gasoline,universal,all,10900,2.25
Subaru,Outback,automatic,blue,290000,2002,gasoline,gasoline,universal,all,5000,3.47
Subaru,Forester,automatic,red,402000,2001,gasoline,gasoline,suv,all,2800,4.93
Subaru,Impreza,mechanical,blue,10000,1999,gasoline,gasoline,sedan,all,9999,2.78
Subaru,Legacy,automatic,black,280000,2001,gasoline,gasoline,universal,all,2134.11,1.69
Subaru,Outback,automatic,silver,132449,2011,gasoline,gasoline,universal,all,14700,1.82
Subaru,Forester,automatic,black,318280,1998,gasoline,gasoline,universal,all,3000,1.81
Subaru,Legacy,automatic,silver,350000,2004,gasoline,gasoline,sedan,all,4500,0.08
Subaru,Outback,automatic,grey,179000,2010,gasoline,gasoline,universal,all,12900,0.84
Subaru,Forester,automatic,silver,571317,1999,gasoline,gasoline,universal,all,4200,1.07
Subaru,Forester,mechanical,other,280000,2003,gasoline,gasoline,suv,all,6900,3.66
Subaru,Tribeca,automatic,grey,256000,2008,gasoline,gasoline,suv,all,8350,4.75
Subaru,Forester,mechanical,other,321000,2002,gasoline,gasoline,suv,all,4300,3.51
Subaru,Justy,mechanical,red,49999,2001,gasoline,gasoline,hatchback,all,1666,4.52
Subaru,Outback,automatic,brown,154685,2011,gasoline,gasoline,universal,all,8600,0.17
Subaru,Outback,automatic,black,163219,2004,gasoline,gasoline,universal,all,7300,1.39
Subaru,Outback,automatic,other,318650,2005,gasoline,gasoline,universal,all,7587.97,0.30
Subaru,Impreza,mechanical,blue,191000,2005,gasoline,gasoline,sedan,all,10950,2.88
Subaru,Forester,automatic,silver,179000,2014,gasoline,gasoline,suv,all,12700,3.74
Subaru,Forester,automatic,black,159000,2013,gasoline,gasoline,suv,all,16500,0.04
Subaru,Outback,automatic,white,257495,2008,gasoline,gasoline,universal,all,8700,4.87
Subaru,Tribeca,automatic,silver,241402,2005,gasoline,gasoline,suv,all,7500,3.94
Subaru,Tribeca,automatic,black,188000,2006,gasoline,gasoline,suv,all,8650,5.00
Subaru,Forester,automatic,blue,240000,2001,gasoline,gasoline,universal,all,3500,2.56
Subaru,Legacy,automatic,green,249448,2002,gasoline,gasoline,universal,all,3800,2.55
Subaru,Tribeca,automatic,other,250000,2007,gasoline,gasoline,suv,all,7200,1.95
Subaru,Outback,automatic,green,417000,1997,gasoline,gasoline,universal,front,1850,1.31
